,0
0,10.0
1,-10.0
2,0.0
3,-1.9198986505461706
4,0.0
5,-1.8374626197212403
6,0.0
7,-1.370892266533802
8,0.0
9,-0.8427950395326721
10,0.0
11,-0.6053437100109951
12,0.0
13,-1.26363598918644
14,0.0
15,-2.590757786230884
16,0.0
17,-3.4175436411139866
18,0.0
19,-4.363664339311159
20,0.0
21,-3.6970882527569326
22,0.0
23,-2.582845639406704
24,0.0
25,-2.0979344426882425
26,0.0
27,-1.2789766245932506
28,0.0
29,-0.7551066657721935
30,0.0
31,-0.9892094390683467
32,0.0
33,-2.449727467252445
34,0.0
35,-3.1758337820165026
36,0.0
37,-4.116841662142465
38,0.0
39,-5.277264063733048
40,0.0
41,-4.32568327686528
42,0.0
43,-2.8643232637960065
44,0.0
45,-2.2483877100405714
46,0.0
47,-2.019941039124079
48,0.0
49,-1.6325734297192676
50,0.0
51,-1.0485363123971698
52,0.0
53,-2.792371974615127
54,0.0
55,-3.6711781581012146
56,0.0
57,-4.6636718647897455
58,0.0
59,-5.490701206966859
60,0.0
61,-4.858850123535375
62,0.0
63,-2.313355545938999
64,0.0
65,-1.7119924685507173
66,0.0
67,-1.927142795421582
68,0.0
69,-1.2960037008022613
70,0.0
71,-0.8698588182670156
72,0.0
73,-1.746496076084378
74,0.0
75,-3.842491344513603
76,0.0
77,-4.647552054096424
78,0.0
79,-5.461354118355138
80,0.0
81,-4.775441306283575
82,0.0
83,-1.736001745251237
84,0.0
85,-1.1873345133963602
86,0.0
87,-1.053767018544548
88,0.0
89,-0.5106885329994209
90,0.0
91,-0.4135546271875235
92,0.0
93,-0.8446715420349307
94,0.0
95,-2.1734496861317525
96,0.0
97,-3.8201861575477363
98,0.0
99,-4.549630475450162
100,0.0
101,-4.644754782010271
102,0.0
103,-0.9052793438776063
104,0.0
105,-0.4003889588931134
106,0.0
107,-0.37406287501470514
108,0.0
109,-0.43344389000000005
110,0.0
111,-0.7472811730231101
112,0.0
113,-0.20067723909287893
114,0.0
115,-1.027410560801701
116,0.0
117,-2.064249276305254
118,0.0
119,-3.4734491921684363
120,0.0
121,-2.830949364000168
122,0.0
123,-0.4582344394038719
124,0.0
125,-0.7472811730231101
126,0.0
127,-0.5327901211404124
128,0.0
129,-0.53595005082311
130,0.0
131,-0.32032539929996035
132,0.0
133,-0.43450054561100004
134,0.0
135,-0.8498083612928791
136,0.0
137,-0.7311979827548292
138,0.0
139,-1.7257275962839458
140,0.0
141,-1.5275799305017186
142,0.0
143,-0.7472811730231101
144,0.0
145,0.18908806686375312
146,0.0
147,-0.4664377641970211
148,0.0
149,-0.1406898379758642
150,0.0
151,0.09436759894301665
152,0.0
153,-0.41418636129287906
154,0.0
155,-0.6394948310270102
156,0.0
157,-0.6437183565890001
158,0.0
159,-1.14030303315641
160,0.0
161,-1.202698737956368
162,0.0
163,-4.312092657274378
164,-0.8263720298921734
165,-4.02582522131386
166,-0.40701376054314675
167,-3.905097454709874
168,-0.2767812587619848
169,-2.9708652271596403
170,-0.5159401671650986
171,-4.2312519547658765
172,-0.2537218886955305
173,-4.428983026777091
174,-0.21740210590958092
175,-5.124344830449951
176,-0.8467427983636128
177,-5.659813277907364
178,-1.2714005524077454
179,-6.238291272100207
180,-2.2073608384259247
181,-6.609439595497218
182,-1.443796059541239
183,-2.86360704057781
184,-1.1113575181881519
185,-4.609945551992213
186,-0.8258357949420708
187,-2.2820919298617866
188,-0.6169269939751363
189,-2.7023387526324107
190,-0.41305311094683167
191,0.5707783281821203
192,-0.425588391115272
193,-4.855513583809786
194,-1.1352580501406886
195,-5.6075020880659965
196,-1.425665043020334
197,-6.10080642552555
198,-1.8118259439317907
199,-6.9599573911814865
200,-2.856758312215043
201,-6.256751063781204
202,-2.7959116421426784
203,-3.0288185993164984
204,-1.3144533366710291
205,-1.4120687096914932
206,-0.8579660923799074
207,-2.6072379473773295
208,-0.38377261005482055
209,-2.4374262343785453
210,-0.7399791554799501
211,-0.608709169801364
212,-0.5892781099290587
213,-5.2983679902117125
214,-1.2497664111225781
215,-5.957686997643421
216,-1.1316467470113523
217,-6.034009396217391
218,-2.042493345340875
219,-7.185834768643037
220,-3.3778767688052738
221,-7.489205653588724
222,-2.684066341207302
223,-0.6171876829367471
224,-1.771291032911813
225,-3.239714952914681
226,-1.2624294790905821
227,-2.63949452542293
228,-1.0722969764698713
229,-0.8826117674652418
230,-0.6298418530833166
231,-3.511618654826952
232,-0.5911649696778529
233,-5.642349979897955
234,-1.2468216436043211
235,-6.527031400196187
236,-2.183809554673875
237,-6.802798683060857
238,-2.256222749901879
239,-7.2965055188979955
240,-3.5840527875125687
241,-6.762862072930494
242,-3.5960610643924635
243,-4.157827135614339
244,-1.9148306152659798
245,-3.7879490870114445
246,-1.5185984067786262
247,-2.503412337276684
248,-1.146372810083952
249,-1.0694767294150245
250,-0.7375468371392406
251,-1.008253026238259
252,-0.5464994246621131
253,-6.497688123674123
254,-1.4842832301223268
255,-6.496363031495337
256,-2.3927423714575
257,-6.749726891624169
258,-3.606301428000748
259,-7.351073827969418
260,-3.9634033484852247
261,-7.104624871049363
262,-3.8109074539603958
263,-1.5135455883229645
264,-1.398204560192919
265,-1.7740055584977872
266,-1.0317560902357545
267,-0.7223867301695163
268,-1.040340699372039
269,-0.16480609046748765
270,-0.26735732127827333
271,-1.0932163476685754
272,-0.32598373146099574
273,-1.9127481493797474
274,-1.1742975433836966
275,-4.8093332053989934
276,-2.210075127298604
277,-5.095437082702305
278,-3.4084072978623894
279,-4.721297736400231
280,-4.245721621188812
281,-5.459747379144324
282,-3.9668956939478486
283,0.3400238754513848
284,0.7189718819511752
285,2.5865313046477345
286,1.8215943280590756
287,0.6880510394431463
288,2.5462259867161747
289,1.8067361224687022
290,1.5270616255169043
291,1.38027225334306
292,2.5324446077511342
293,5.5711007354741575
294,5.275099920667341
295,0.8709074658714745
296,-0.4218463037797362
297,-2.1263684210472853
298,-2.503852297816255
299,-0.5608906147340599
300,-3.212029165518801
301,-1.674545125551849
302,-2.833095580171957
303,3.9915923753934517
304,3.180490489053841
305,3.7107189282010484
306,4.349772945114694
307,4.094190712653714
308,4.176816452256974
309,6.673677720040641
310,4.936098782429049
311,5.762003795488094
312,5.661980268381509
313,6.312787130860006
314,6.223453361024768
315,7.061394375896955
316,7.290097527339644
317,4.012895471795421
318,3.077528190195432
319,1.397476920051163
320,0.2470310350471631
321,3.1507371836393174
322,1.606337311573101
323,6.659789134684994
324,6.827695779306131
325,6.684366144533437
326,7.695223794006201
327,8.052353386353362
328,6.390294887063581
329,7.584450473455735
330,8.089688692683753
331,6.709079755066058
