,0
0,10.0
1,-10.0
2,0.0
3,-1.6095048905047604
4,0.0
5,-1.5193986128667187
6,0.0
7,-1.0575774336302028
8,0.0
9,-0.908949509821394
10,0.0
11,-0.6340869473312719
12,0.0
13,-1.5064841028155895
14,0.0
15,-2.0525043780533117
16,0.0
17,-2.6756258470240795
18,0.0
19,-4.168641821001015
20,0.0
21,-2.26274824261132
22,0.0
23,-2.235776609279672
24,0.0
25,-1.807545551291442
26,0.0
27,-1.7125802853507834
28,0.0
29,-1.303950550455832
30,0.0
31,-0.674396336584895
32,0.0
33,-2.1193442589593885
34,0.0
35,-2.910571695243042
36,0.0
37,-3.629594297054789
38,0.0
39,-5.049777622622948
40,0.0
41,-3.756211596099398
42,0.0
43,-2.4583967470614705
44,0.0
45,-2.160288057560922
46,0.0
47,-2.0023251974354612
48,0.0
49,-1.3020587695998824
50,0.0
51,-0.7458379412118071
52,0.0
53,-2.741027780855166
54,0.0
55,-3.3331020100645232
56,0.0
57,-4.059300149757344
58,0.0
59,-5.08170405969246
60,0.0
61,-4.44046483800517
62,0.0
63,-2.231185939602084
64,0.0
65,-1.7974647177061975
66,0.0
67,-1.462085381960667
68,0.0
69,-1.0482303605645324
70,0.0
71,-0.7917715712905337
72,0.0
73,-1.91471317389535
74,0.0
75,-3.212026985485775
76,0.0
77,-4.29678264093264
78,0.0
79,-4.798709788409651
80,0.0
81,-4.7089946456910114
82,0.0
83,-1.560175663002718
84,0.0
85,-1.237719432549578
86,0.0
87,-0.41642526230236315
88,0.0
89,-0.4858911152000956
90,0.0
91,-0.5418315057942108
92,0.0
93,-0.8011024709494069
94,0.0
95,-1.7793850862854432
96,0.0
97,-3.502413990226864
98,0.0
99,-4.058743299970308
100,0.0
101,-4.2505504178860365
102,0.0
103,-0.5560711154862544
104,0.0
105,-0.37427005529001817
106,0.0
107,-0.24575110129524874
108,0.0
109,-0.3669331670773946
110,0.0
111,-0.4748258941501644
112,0.0
113,-0.5796726667034414
114,0.0
115,-0.5345916251450175
116,0.0
117,-2.0726516619208777
118,0.0
119,-3.1168106214071187
120,0.0
121,-2.7384799229469126
122,0.0
123,-0.4777237484857174
124,0.0
125,-0.2179075982776073
126,0.0
127,-0.31440800102530353
128,0.0
129,-0.3179373314916112
130,0.0
131,-0.3158618104964561
132,0.0
133,-0.4251624115020239
134,0.0
135,-0.47301800413292483
136,0.0
137,-0.6183199977855608
138,0.0
139,-1.6001360669239073
140,0.0
141,-1.4038373518781606
142,0.0
143,-0.15715953815898534
144,0.0
145,-0.30157517411177365
146,0.0
147,-0.4841631397493799
148,0.0
149,-0.5377885648765092
150,0.0
151,-0.10220083492361984
152,0.0
153,-0.5852932798626986
154,0.0
155,-0.3613098481574368
156,0.0
157,-0.8324980699000942
158,0.0
159,-0.7923715205678448
160,0.0
161,-0.7938967337507492
162,0.0
163,-4.359289637839185
164,-0.7206367155938916
165,-4.031163097338929
166,-0.8914646775234168
167,-3.5353832130453453
168,-0.4599403227097026
169,-2.8173962418546874
170,0.17656978208005195
171,-1.505373421672304
172,-0.31011780040773285
173,-3.6443542301025573
174,-0.5846182520765378
175,-4.084629206047315
176,-0.6702901293525364
177,-5.407709050665675
178,-1.283841434889112
179,-5.890204017894276
180,-2.20941181350232
181,-5.543875971570775
182,-1.4431219387400944
183,-4.605918685061723
184,-0.9129134593605053
185,-4.582285968390187
186,-0.6552338829181543
187,-1.8734997017296795
188,-0.7813425780793779
189,-1.8809136287907944
190,-0.6783279857845235
191,-1.65009976231121
192,-0.5674192696238111
193,-4.0368421861499195
194,-0.7174833986960732
195,-5.061499742247993
196,-1.1870018265285476
197,-5.685037370615005
198,-1.7159183474317554
199,-6.14703856608268
200,-2.5775451272796754
201,-6.227038607665134
202,-2.272469872030942
203,-4.009499871458097
204,-1.0643083780914868
205,-2.9302937416509085
206,-0.7021022141447755
207,-2.5977154629737993
208,-0.7107445536037873
209,-0.8450860928018875
210,-0.2749427992132427
211,-1.974693017932451
212,-0.13522097335987168
213,-5.321316196326198
214,-0.712773039483453
215,-5.658644057633079
216,-1.0591322980079996
217,-6.154186475813413
218,-2.45658446370259
219,-6.212963281997938
220,-2.7689784658720944
221,-6.50284106648177
222,-2.3540476888028183
223,-3.5019880882377685
224,-1.4553130695408347
225,-2.116144854910274
226,-1.1784434233292505
227,-2.501208454640293
228,-0.7777586303506017
229,-1.9339242993889774
230,-0.8843005927543318
231,-1.1411336654392554
232,-0.451578262547167
233,-4.9510166121448185
234,-1.2860555805019562
235,-5.708537190504476
236,-1.7847977247542737
237,-5.850260711304498
238,-2.3996161844029866
239,-5.885464967565897
240,-3.370392170757957
241,-6.793712738451525
242,-2.9857455611376937
243,-2.7702925017929365
244,-1.718450769963182
245,-2.894168857891711
246,-1.2174279221195357
247,-2.1388323069219872
248,-0.8481107739834564
249,-1.3283891556164997
250,-0.5193728962814249
251,-1.2401398944700055
252,-0.22274258938099156
253,-5.103287480584803
254,-1.35496224224789
255,-6.328196247561438
256,-1.9736840734127983
257,-6.8797006214447265
258,-2.693237650600864
259,-5.299163932370461
260,-3.6924496778170774
261,-7.378676812673389
262,-3.262084294423203
263,-1.278173427122782
264,-1.074842180777308
265,-0.8134980454973778
266,-0.7484620560894255
267,-1.1270768142771166
268,-0.7433375099362417
269,-0.6829104692256736
270,-0.23498979554601115
271,-0.17578020556146984
272,-0.463773809059504
273,-1.2730961596372263
274,-0.5294127427167935
275,-5.026603022208371
276,-1.8955622739970048
277,-4.781879696903106
278,-2.6306481988374255
279,-4.558256145276784
280,-3.6956601575898977
281,-5.820998193310383
282,-3.4778370787641597
283,1.4146558055441452
284,1.6642914084539808
285,1.8937768264553214
286,2.96565419617027
287,2.214264709922342
288,2.3596585309199476
289,2.0994137666604464
290,-0.022659135718425635
291,2.6313201889039224
292,1.7158969523072736
293,4.676699407876157
294,4.712098314570584
295,0.9380664421601272
296,0.9148895622003662
297,-1.6369617283205842
298,-2.2422467773539894
299,-2.312537530273275
300,-2.544187578675877
301,-2.26373622643007
302,-2.5796081394301145
303,4.736779195105237
304,4.666180589487106
305,3.4880579241896923
306,4.817813944954727
307,4.452174143699407
308,4.126780506657603
309,5.322067006994118
310,4.974299249303782
311,4.320761251031579
312,5.498204540114405
313,6.65964951843062
314,7.492715990463002
315,6.596532178907991
316,6.428668564223333
317,3.092589657707875
318,3.447138005467121
319,1.151016960477066
320,0.2483678560340181
321,2.201378036564318
322,1.7548086304115846
323,6.249816078415812
324,6.7697060666829385
325,7.242268803796549
326,7.482238884608964
327,7.256591972813055
328,7.159465881107558
329,6.875210598554947
330,7.285762498094283
331,6.980737633987042
