,0
0,0.0
1,0.0
2,0.0
3,-0.3730910558295216
4,0.0
5,-0.21358681079024655
6,0.0
7,-0.16384083025093465
8,0.0
9,-0.18317423042400838
10,0.0
11,-0.11802086455008316
12,0.0
13,-0.5353875695839977
14,0.0
15,-0.5072448008835716
16,0.0
17,-0.4858133436470121
18,0.0
19,-0.5578145300634039
20,0.0
21,-0.506336689304416
22,0.0
23,-0.30046513220839516
24,0.0
25,-0.1783434437317965
26,0.0
27,-0.3005742563508195
28,0.0
29,-0.17096502074458145
30,0.0
31,-0.21700472850065083
32,0.0
33,-0.4499926999123544
34,0.0
35,-0.5440482452275627
36,0.0
37,-0.5456032292852594
38,0.0
39,-0.5075876686597595
40,0.0
41,-0.662250176824658
42,0.0
43,-0.21698513067250422
44,0.0
45,-0.20622358916625225
46,0.0
47,-0.24036373133175326
48,0.0
49,-0.04773527553726399
50,0.0
51,-0.0994160345927444
52,0.0
53,-0.40619059135488117
54,0.0
55,-0.5726691647989305
56,0.0
57,-0.5309167084784112
58,0.0
59,-0.651959810722237
60,0.0
61,-0.6205372889473756
62,0.0
63,-0.2549140055552571
64,0.0
65,-0.18933132084717583
66,0.0
67,-0.3933937582032681
68,0.0
69,-0.12549940184952374
70,0.0
71,-0.05299824800117548
72,0.0
73,-0.5542598715602125
74,0.0
75,-0.47520769015750963
76,0.0
77,-0.5392931628349631
78,0.0
79,-0.5276858187106195
80,0.0
81,-0.5557612612400481
82,0.0
83,-0.30274528951244933
84,0.0
85,-0.21087375259784275
86,0.0
87,-0.36522211935659155
88,0.0
89,-0.157539276750509
90,0.0
91,-0.17024500283105765
92,0.0
93,-0.5131981960972409
94,0.0
95,-0.5349101059657386
96,0.0
97,-0.5202681812708501
98,0.0
99,-0.5802464939878903
100,0.0
101,-0.6880225798539373
102,0.0
103,-0.2174070643002189
104,0.0
105,-0.24058408820886534
106,0.0
107,-0.2770325906924195
108,0.0
109,-0.04256253544275641
110,0.0
111,-0.09365910127158802
112,0.0
113,-0.44956773168024833
114,0.0
115,-0.5102768458706382
116,0.0
117,-0.5619250959201234
118,0.0
119,-0.5333498004051936
120,0.0
121,-0.5371861250095897
122,0.0
123,-0.22426353429640308
124,0.0
125,-0.17063610104916627
126,0.0
127,-0.13043446601040357
128,0.0
129,-0.19513696981917214
130,0.0
131,-0.07559630150736542
132,0.0
133,-0.5558634426980164
134,0.0
135,-0.5241013386176271
136,0.0
137,-0.5178872041572892
138,0.0
139,-0.46189626697091724
140,0.0
141,-0.670633012435251
142,0.0
143,-0.2238170470706313
144,0.0
145,-0.33518965667766837
146,0.0
147,-0.1819190510828596
148,0.0
149,-0.20721838836869896
150,0.0
151,-0.18883664639217315
152,0.0
153,-0.4299908517523228
154,0.0
155,-0.4380667855121457
156,0.0
157,-0.5034623630351752
158,0.0
159,-0.5970984506577797
160,0.0
161,-0.6156415251580853
162,0.0
163,-0.45340340183690064
164,-0.14846757223963666
165,-0.2168563972502809
166,-0.3435861107040023
167,-0.1642872555823326
168,-0.27867594401711854
169,-0.32645276088146513
170,-0.14262792783529912
171,-0.07908127917570214
172,-0.13102094500866276
173,-0.4946778919815819
174,-0.4943765816722314
175,-0.4472906928674973
176,-0.4242767207226411
177,-0.5168051430357616
178,-0.5416726362339838
179,-0.5754843409896256
180,-0.6297979535685421
181,-0.545754054387028
182,-0.5453727792219899
183,-0.3193137317542057
184,-0.4167749074341669
185,-0.3260069023011022
186,-0.2893032408274705
187,-0.19316591824760818
188,-0.27544008900500755
189,-0.12935910508375467
190,-0.1128519728283508
191,0.11976630886882128
192,-0.05849798915327513
193,-0.4174474463660784
194,-0.43182676365122535
195,-0.35497625197651966
196,-0.5544400839052025
197,-0.5263390356243417
198,-0.573569619586841
199,-0.5850666207415953
200,-0.5535306764368837
201,-0.6858425232105331
202,-0.4913150484322144
203,-0.21348799338755758
204,-0.2728847149070622
205,-0.27616989377414775
206,-0.3024603681414669
207,-0.2650732014109471
208,-0.24324224865791888
209,-0.18848209728352297
210,-0.1383106014319345
211,-0.22248092536386238
212,-0.2142244427572585
213,-0.43309697919488627
214,-0.47640274103185315
215,-0.3841032391207146
216,-0.4818241355280549
217,-0.4571618119307419
218,-0.6414386857768984
219,-0.6012461429341178
220,-0.5185010404425876
221,-0.6068620686741626
222,-0.5559319254722966
223,-0.33487950029336394
224,-0.29961908841149965
225,-0.22962340451030774
226,-0.3143088728938116
227,-0.02044502467193405
228,-0.1694198816241835
229,-0.1760699184949594
230,-0.0909624993237502
231,-0.13919095930882477
232,-0.1508597406910183
233,-0.5995062283140238
234,-0.5335167977278067
235,-0.534430571602216
236,-0.465740080979653
237,-0.5261333058920886
238,-0.5498876946483376
239,-0.5198444219717958
240,-0.47568094612484146
241,-0.6262157724215173
242,-0.7053747764269537
243,-0.3105421050005179
244,-0.3184085809784898
245,-0.2810562295808254
246,-0.30041694816605297
247,-0.23910486589158828
248,-0.2130438757136942
249,-0.18608089102903252
250,-0.0011479866409294572
251,-0.06517240961440054
252,-0.023983949235496592
253,-0.45000009590013457
254,-0.44141331832808
255,-0.6409232038120386
256,-0.5978447648058762
257,-0.6522805522553641
258,-0.4911256499854269
259,-0.6251350681150362
260,-0.6864054766906292
261,-0.6884185197509398
262,-0.6001912036690139
263,-0.18768947082228196
264,-0.21300047871928612
265,-0.10203388993134828
266,-0.069071526293875
267,-0.02531642646037143
268,-0.03891035629011612
269,-0.04743549161896571
270,-0.1661147226377614
271,-0.05623000345245428
272,0.05771684188510925
273,-0.17113696974199288
274,-0.21543401921120783
275,-0.44544272820911285
276,-0.422517517788261
277,-0.4818308871293492
278,-0.4234888520491467
279,-0.40032530163492663
280,-0.4813821663881376
281,-0.419549866042466
282,-0.4413912701146224
283,0.14617843130274336
284,-0.0002722064555366662
285,0.16915529421599296
286,0.1218193508694992
287,0.10001897032689132
288,0.15750336325032613
289,0.23467619400882228
290,0.08727762031635343
291,0.29127115542089976
292,0.2138130620283206
293,0.4915502174639701
294,0.3551416764776495
295,0.10410813230980737
296,0.11846769634195069
297,-0.21436173722434262
298,-0.16275812361714737
299,-0.18644360305267504
300,-0.1551025571389439
301,-0.19877216961144548
302,-0.2936345954355683
303,0.46890023109984647
304,0.47314298770640323
305,0.4658674578823935
306,0.3869815933159755
307,0.3060882079597051
308,0.511303909095129
309,0.37504099681055864
310,0.4283911349537878
311,0.410776964479763
312,0.40598577421657034
313,0.6409355375377987
314,0.6721727266036991
315,0.6401864349930804
316,0.6218630948169693
317,0.22003717502670678
318,0.3141265313605294
319,0.14155377671488487
320,0.08120870247854539
321,0.23484564102752695
322,0.27014023152574984
323,0.5776162077705352
324,0.6796669169488557
325,0.7194712886376113
326,0.6908702439908845
327,0.6604813859348221
328,0.6619202732679051
329,0.7144383024676705
330,0.6567240428506321
331,0.6831381781843429
